"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"1999"	"1999"	84	2293259	3.662909423
	"Alabama"	"01"	"2000"	"2000"	106	2300596	4.607501708
	"Alabama"	"01"	"2001"	"2001"	105	2309496	4.546446497
	"Alabama"	"01"	"2002"	"2002"	100	2314370	4.320830291
	"Alabama"	"01"	"2003"	"2003"	95	2324069	4.087658327
	"Alabama"	"01"	"2004"	"2004"	127	2337857	5.432325416
	"Alabama"	"01"	"2005"	"2005"	118	2356423	5.007589894
	"Alabama"	"01"	"2006"	"2006"	178	2385480	7.461810621
	"Alabama"	"01"	"2007"	"2007"	229	2407275	9.512830898
	"Alabama"	"01"	"2008"	"2008"	296	2430257	12.179781809
	"Alabama"	"01"	"2009"	"2009"	309	2448159	12.621729226
	"Alabama"	"01"	"2010"	"2010"	254	2459548	10.327100752
	"Alabama"	"01"	"2011"	"2011"	258	2473249	10.431622534
	"Alabama"	"01"	"2012"	"2012"	247	2483466	9.945777393
	"Alabama"	"01"	"2013"	"2013"	277	2488375	11.131762696
	"Alabama"	"01"	"2014"	"2014"	355	2499410	14.203351991
	"Alabama"	"01"	"2015"	"2015"	339	2505795	13.528640611
	"Alabama"	"01"	"2016"	"2016"	335	2507714	13.358780148
	"Alaska"	"02"	"1999"	"1999"	26	301266	8.630247024
	"Alaska"	"02"	"2000"	"2000"	28	302820	9.246417013
	"Alaska"	"02"	"2001"	"2001"	33	305579	10.799171409
	"Alaska"	"02"	"2002"	"2002"	36	309633	11.626667700
	"Alaska"	"02"	"2003"	"2003"	42	313034	13.417072906
	"Alaska"	"02"	"2004"	"2004"	48	317807	15.103506216
	"Alaska"	"02"	"2005"	"2005"	37	320920	11.529353110
	"Alaska"	"02"	"2006"	"2006"	32	325121	9.842489412
	"Alaska"	"02"	"2007"	"2007"	30	327138	9.170441832
	"Alaska"	"02"	"2008"	"2008"	46	329412	13.964275740
	"Alaska"	"02"	"2009"	"2009"	55	337002	16.320377921
	"Alaska"	"02"	"2010"	"2010"	40	340603	11.743877770
	"Alaska"	"02"	"2011"	"2011"	43	347526	12.373174957
