"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"1999"	"1999"	111	2136882	5.194484300
	"Alabama"	"01"	"2000"	"2000"	126	2146504	5.870010026
	"Alabama"	"01"	"2001"	"2001"	148	2158138	6.857763498
	"Alabama"	"01"	"2002"	"2002"	148	2165719	6.833758212
	"Alabama"	"01"	"2003"	"2003"	160	2179422	7.341396021
	"Alabama"	"01"	"2004"	"2004"	200	2192872	9.120459379
	"Alabama"	"01"	"2005"	"2005"	214	2213382	9.668462109
	"Alabama"	"01"	"2006"	"2006"	288	2243501	12.837079190
	"Alabama"	"01"	"2007"	"2007"	325	2265565	14.345207487
	"Alabama"	"01"	"2008"	"2008"	350	2287949	15.297543783
	"Alabama"	"01"	"2009"	"2009"	379	2309779	16.408496224
	"Alabama"	"01"	"2010"	"2010"	331	2320188	14.266085334
	"Alabama"	"01"	"2011"	"2011"	347	2329491	14.895957958
	"Alabama"	"01"	"2012"	"2012"	385	2338557	16.463143725
	"Alabama"	"01"	"2013"	"2013"	371	2345347	15.818554781
	"Alabama"	"01"	"2014"	"2014"	445	2349967	18.936436129
	"Alabama"	"01"	"2015"	"2015"	471	2353184	20.015434407
	"Alabama"	"01"	"2016"	"2016"	520	2355586	22.075186387
	"Alaska"	"02"	"1999"	"1999"	30	323513	9.273197677
	"Alaska"	"02"	"2000"	"2000"	26	324112	8.021918349
	"Alaska"	"02"	"2001"	"2001"	39	328135	11.885352065
	"Alaska"	"02"	"2002"	"2002"	49	332704	14.727806098
	"Alaska"	"02"	"2003"	"2003"	44	335380	13.119446598
	"Alaska"	"02"	"2004"	"2004"	44	341479	12.885126172
	"Alaska"	"02"	"2005"	"2005"	48	346026	13.871789981
	"Alaska"	"02"	"2006"	"2006"	53	350181	15.135030170
	"Alaska"	"02"	"2007"	"2007"	45	353162	12.742027738
	"Alaska"	"02"	"2008"	"2008"	86	358043	24.019461350
	"Alaska"	"02"	"2009"	"2009"	78	361893	21.553332062
	"Alaska"	"02"	"2010"	"2010"	44	369628	11.903860097
	"Alaska"	"02"	"2011"	"2011"	64	375192	17.057933005
	"Alaska"	"02"	"2012"	"2012"	75	381238	19.672750355
	"Alaska"	"02"	"2013"	"2013"	72	385568	18.673748859
	"Alaska"	"02"	"2014"	"2014"	71	387296	18.332231678
	"Alaska"	"02"	"2015"	"2015"	79	389025	20.307178202
	"Alaska"	"02"	"2016"	"2016"	87	388132	22.415054672
	"Arizona"	"04"	"1999"	"1999"	408	2505524	16.284018832
	"Arizona"	"04"	"2000"	"2000"	390	2561057	15.228087465
	"Arizona"	"04"	"2001"	"2001"	411	2631801	15.616682264
	"Arizona"	"04"	"2002"	"2002"	446	2692038	16.567373863
	"Arizona"	"04"	"2003"	"2003"	482	2746287	17.550969728
	"Arizona"	"04"	"2004"	"2004"	519	2816798	18.425176388
	"Arizona"	"04"	"2005"	"2005"	517	2908266	17.776915867
	"Arizona"	"04"	"2006"	"2006"	603	3003007	20.079873274
	"Arizona"	"04"	"2007"	"2007"	618	3070683	20.125815657
	"Arizona"	"04"	"2008"	"2008"	512	3125084	16.383559610
	"Arizona"	"04"	"2009"	"2009"	625	3153246	19.820844932
	"Arizona"	"04"	"2010"	"2010"	661	3175823	20.813502516
	"Arizona"	"04"	"2011"	"2011"	630	3223871	19.541724839
	"Arizona"	"04"	"2012"	"2012"	711	3258483	21.819969599
	"Arizona"	"04"	"2013"	"2013"	761	3295119	23.094765318
	"Arizona"	"04"	"2014"	"2014"	761	3343847	22.758218304
	"Arizona"	"04"	"2015"	"2015"	801	3391490	23.617937839
	"Arizona"	"04"	"2016"	"2016"	971	3442895	28.203009386
	"Arkansas"	"05"	"1999"	"1999"	69	1292415	5.338842400
	"Arkansas"	"05"	"2000"	"2000"	93	1304693	7.128113663
	"Arkansas"	"05"	"2001"	"2001"	83	1314726	6.313102502
	"Arkansas"	"05"	"2002"	"2002"	99	1322688	7.484758310
	"Arkansas"	"05"	"2003"	"2003"	120	1333293	9.000272258
	"Arkansas"	"05"	"2004"	"2004"	135	1346638	10.024965878
	"Arkansas"	"05"	"2005"	"2005"	163	1362802	11.960651657
	"Arkansas"	"05"	"2006"	"2006"	189	1383333	13.662653895
	"Arkansas"	"05"	"2007"	"2007"	184	1397292	13.168328453
	"Arkansas"	"05"	"2008"	"2008"	213	1410334	15.102805435
	"Arkansas"	"05"	"2009"	"2009"	217	1421830	15.262021479
	"Arkansas"	"05"	"2010"	"2010"	206	1431637	14.389122382
	"Arkansas"	"05"	"2011"	"2011"	227	1442779	15.733525370
	"Arkansas"	"05"	"2012"	"2012"	205	1448490	14.152669332
	"Arkansas"	"05"	"2013"	"2013"	196	1453591	13.483847932
	"Arkansas"	"05"	"2014"	"2014"	215	1457316	14.753148940
	"Arkansas"	"05"	"2015"	"2015"	227	1462856	15.517590248
	"Arkansas"	"05"	"2016"	"2016"	230	1467873	15.668930487
	"California"	"06"	"1999"	"1999"	2116	16699043	12.671384821
	"California"	"06"	"2000"	"2000"	1577	16874892	9.345244995
	"California"	"06"	"2001"	"2001"	1002	17185235	5.830586547
	"California"	"06"	"2002"	"2002"	2168	17373381	12.478860620
	"California"	"06"	"2003"	"2003"	2322	17543650	13.235558165
	"California"	"06"	"2004"	"2004"	2287	17703161	12.918596854
	"California"	"06"	"2005"	"2005"	2416	17831713	13.548894601
	"California"	"06"	"2006"	"2006"	2545	17923731	14.199052641
	"California"	"06"	"2007"	"2007"	2582	18035385	14.316300983
	"California"	"06"	"2008"	"2008"	2529	18207365	13.889983531
	"California"	"06"	"2009"	"2009"	2621	18378154	14.261497646
	"California"	"06"	"2010"	"2010"	2579	18517830	13.927117810
	"California"	"06"	"2011"	"2011"	2718	18748327	14.497293545
	"California"	"06"	"2012"	"2012"	2675	18918564	14.139550972
	"California"	"06"	"2013"	"2013"	2952	19064196	15.484523974
	"California"	"06"	"2014"	"2014"	3046	19268904	15.807852901
	"California"	"06"	"2015"	"2015"	3173	19443068	16.319440944
	"California"	"06"	"2016"	"2016"	3321	19493361	17.036569527
	"Colorado"	"08"	"1999"	"1999"	239	2124660	11.248858641
	"Colorado"	"08"	"2000"	"2000"	240	2165983	11.080419375
	"Colorado"	"08"	"2001"	"2001"	275	2229982	12.331938105
	"Colorado"	"08"	"2002"	"2002"	285	2261741	12.600912306
	"Colorado"	"08"	"2003"	"2003"	329	2275518	14.458246430
